"Accession","Description","Sample.a.buffer3","Sample.b.buffer3","Sample.c.buffer3","Sample.d.buffer3","Control.a.buffer3","Control.b.buffer3","Control.c.buffer3","Control.d.buffer3","idirt_a","idirt_b","idirt_c","idirt_d","median_ratio","median_Sample","median_Control","bf"
"1","P42704","Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",136065457.625,120673119.917969,145721039.107422,140645437.392578,4059407979.15234,3392263644.63281,4016317774.81641,3772450606.48047,0.032431490670935,0.0343510652214658,0.0350119366066269,0.0359422400614967,0.0346815009140464,138355447.508789,3894384190.64844,23.1658394227554
"2","A0A2R8YCH5","Catenin beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1",1130123028.58875,868654000.365479,1052764075.22919,1061995948.55273,160207905.207275,112541456.496094,160811781.692383,146283273.638428,0.87583967724004,0.885301694265823,0.86748930379984,0.878932558839214,0.877386118039627,1057380011.89096,153245589.422852,16.560311550842
"3","P35527","Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",38696411.3701172,32522665.4921875,38357503.9902344,21675468.2832031,1163420287.90137,687497942.271484,879234647.76123,1027611886.84717,0.0321902286138843,0.0451690759146469,0.0418023453197797,0.0206573234464547,0.036996286966832,35440084.741211,953423267.3042,23.1065622000129
"4","P04264","Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",14728089915.6237,11929258054.3514,14133000592.8848,13457496360.7705,2461427610.78265,1467140421.50781,1885024399.10181,2184348650.0647,0.856806474818073,0.890482473766987,0.882318550505144,0.860352237952007,0.871335394228576,13795248476.8277,2034686524.58326,16.1357701898001
"5","P35908","Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",76235245.1865234,45292951.7558594,306950536.155273,27455928.8076172,686118478.278809,425403196.367676,481119565.327637,616023367.290039,0.0999998332007755,0.0962254565634817,0.389496487149664,0.0426679288271155,0.0981126448821286,60764098.4711914,548571466.308838,11.2033280688015
"6","A0A669KB05","Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1",105378113.166016,114544392.832031,120721757.109375,120414365.302734,102522575.683594,107736916.414063,116274963.519531,113072496.105469,0.50686755175806,0.515312750408608,0.509381550888223,0.515722231976962,0.512347150648415,117479379.067382,110404706.259766,-0.79643376151788
"7","P05787","Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",23074241.5292969,28184543.1074219,30802784.34375,30144150.1201172,3941659306.87891,3298278310.05078,3899322610.22656,3685841111.25781,0.00581987194033781,0.00847282664848129,0.00783760853694536,0.00811202090423239,0.00797481472058887,29164346.6137695,3792581860.74219,26.3042818972883
"8","P15924","Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3",32618705.46875,14937440.3359375,16133980.5820313,19406476.34375,52974047.6123047,49876301.9360352,60671524.5454102,74133813.7319336,0.38109190666949,0.230467178908706,0.210062814576385,0.207466497356895,0.220264996742545,17770228.4628907,56822786.0788575,4.54699725676082
"9","P13645","Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",62723096.0742188,47032887.8554688,26134993.6484375,88474440.9187012,1347347941.48926,868322140.65332,967449988.594238,1283032857.07764,0.044482224230774,0.0513821264871297,0.0263037325598931,0.0645089100495164,0.0479321753589519,54877991.9648438,1125241422.83594,21.7976102810231
"10","P05783","Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2",28037269.90625,30529272.65625,31580605.2265625,29016013.453125,158980575.802734,118097628.251953,146066428.617188,140096853.837891,0.149917617754396,0.205408795242968,0.177771643822318,0.171577798413134,0.174674721117726,29772643.0546875,143081641.22754,9.74522889692616
"11","H0YFD6","Enoyl-CoA hydratase OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",48701795.5273438,53182145.0585938,58421441.8007813,52003708.3828125,417178256.09375,377866107.601563,421016847.25,333131585.632813,0.104537198701424,0.123378635060895,0.121853934353986,0.135027116940113,0.12261628470744,52592926.7207032,397522181.847656,14.3119114871735
"12","P02533","Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",7974381.140625,7927965.2109375,8410200.11816406,8337844.87255859,140840936.982422,93878885.7626953,191126618.691406,188334689.195313,0.0535857547543018,0.0778726100956681,0.0421486128141114,0.0423945565763708,0.0479901556653363,8156113.0065918,164587813.088867,20.99661406098
"13","P08727","Keratin, type I cytoskeletal 19 OS=Homo sapiens OX=9606 GN=KRT19 PE=1 SV=4",12789673.6523438,11393602.6601563,12952991.1767578,11225739.9160156,132612375.144531,70604049.8203125,104178789.996094,111578698.71875,0.0879607526728241,0.138950351814891,0.110584770820167,0.0914115160723321,0.10099814344625,12091638.1562501,107878744.357422,15.6026113591859
"14","P58107","Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3",2622546.38671875,2840443.9609375,2614985.7265625,2230518.671875,5248206.4296875,6281922.6015625,5594619.2421875,6484771.72265625,0.333201467241121,0.311371390469434,0.318527594995921,0.255931652406514,0.314949492732678,2618766.05664062,5938270.921875,2.38066679910073
"15","P08779","Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4",2224981.375,1749369.00585938,2990682.19921875,2351297.36132813,9259869.40820313,8245945.2734375,56533182.40625,43298898.1367188,0.19373184876325,0.175018909558734,0.0502434144530324,0.0515068410041908,0.113262875281462,2288139.36816407,26279383.772461,14.6273471366603
"16","P13647","Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3",5945750.69921875,5162856.3046875,4657055.58984375,4626833.78125,129477427.957031,62185308.8828125,101592698.941406,120336277.947266,0.0439049707606635,0.0766591976234824,0.0438312126968165,0.0370255967321129,0.04386809172874,4909955.94726562,110964488.444336,21.3930202043941
"17","P14923","Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3",30455778.2597656,25873663.2109375,35583344.921875,32631699.2265625,15788658.3515625,12488254.3203125,15596208.9785156,18039511.1992188,0.658582534278407,0.674462197825762,0.695264851099131,0.643988942682917,0.666522366052084,31543738.743164,15692433.6650391,2.33119511798628
"18","P11142","Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1",23163397.25,23317357.703125,26479798.9570313,28912872.2148438,24861535.296875,29157658.75,32706981.6640625,26464020.4121094,0.482320245372364,0.444351603471225,0.447393804480625,0.522110772982795,0.464857024926495,24898578.3300781,27810839.5810547,-0.834496298931634
"19","P12830","Cadherin-1 OS=Homo sapiens OX=9606 GN=CDH1 PE=1 SV=3",383150027.480469,273093920.469727,363757147.852539,392030333.178711,34154561.5664063,17144310.7070313,18637656.921875,17855888.53125,0.918154359039244,0.940930212269002,0.951260695257432,0.956436963270542,0.946095453763217,373453587.666504,18246772.7265625,23.3943035357835
"20","P35658","Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2",12491306.7421875,2203022.49609375,477315.470703125,1008058.34375,2319224.6875,844949.203125,861295.26171875,1141718.63671875,0.843407058111963,0.722783120544861,0.356575260561033,0.468912986281115,0.595848053412988,1605540.41992188,1001506.94921875,0.253455733445919
"21","P02538","Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3",4506004.75,1587126.375,3293706.80859375,2492650.296875,9074407.015625,4079870.765625,22496276.828125,21514678.71875,0.331801776541539,0.280064791919934,0.127712636618517,0.103828722272797,0.203888714269225,2893178.55273438,15294542.8671875,7.28419166547501
"22","P04259","Keratin, type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5",2529574.109375,2077073.47851563,2378998.81640625,1594778.10546875,8760576.9375,7031398.94726563,50400447.1484375,38439522.8476563,0.22405139655551,0.228037521707431,0.0450743423489306,0.0398352929238362,0.13456286945222,2228036.14746094,23600049.8925782,13.1361323400422
