"Accession","Description","Sample.a.buffer19","Sample.b.buffer19","Sample.c.buffer19","Sample.d.buffer19","Control.a.buffer19","Control.b.buffer19","Control.c.buffer19","Control.d.buffer19","idirt_a","idirt_b","idirt_c","idirt_d","median_ratio","median_Sample","median_Control","bf"
"1","P42704","Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",12665313.3085938,19870792.9375,22974594.9003906,26733928.6484375,2423328344.2168,3351591458.75977,3154934762.35547,3290015503.54883,0.00519923903310153,0.00589382038238648,0.00722946828169739,0.00806027985982858,0.00656164433204194,21422693.9189453,3222475132.95215,28.0313318438442
"2","A0A2R8YCH5","Catenin beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1",264869528.076172,758588439.632568,842770951.811401,931161776.052368,31874452.7285156,76359615.3273926,77182318.920166,83476850.9931641,0.892586017609925,0.908545669549402,0.916101913677867,0.917727505371804,0.912323791613634,800679695.721985,76770967.1237793,21.3916780425121
"3","P35527","Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",4213507.78515625,10445802.4790039,24739518.421875,19693925.7617188,612592619.736328,1174705273.03027,951639181.70166,1098343825.29932,0.00683117043938492,0.00881389950603151,0.0253380357629113,0.0176147234232734,0.0132143114646525,15069864.1203614,1024991503.50049,27.0118005700746
"4","P04264","Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",9822397485.18945,11869940583.0218,12272564888.7987,12703401867.558,1136622009.66711,2746063763.50684,2227788822.47668,2512515254.45361,0.896284333630343,0.81211939334439,0.846363139352638,0.834875858332656,0.840619498842647,12071252735.9102,2370152038.46515,15.0040870701681
"5","P35908","Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",17937526.8583984,25247665.2890625,47973194.7539063,32327272.1396484,314183165.224609,747477464.53418,581260168.758789,621536127.539063,0.0540090614225122,0.0326735398068881,0.0762407042215561,0.0494404062920987,0.0517247338573054,28787468.7143555,601398148.148926,22.3870482656579
"6","A0A669KB05","Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1",17110478.7675781,48190498.1835938,50148429.359375,61232546.3789063,4879126.52636719,5948762.15063477,5673409.35058594,8021643.3046875,0.778116684626866,0.890121104095067,0.898365774368991,0.884171003352483,0.887146053723775,49169463.7714844,5811085.75061036,16.4923834779848
"7","P05787","Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",7618907.3671875,14018949.4257813,13649107.6054688,15104320.2207031,2489983959.5625,3455146601.94531,3223837374.83203,3378841008.48145,0.00305048791706163,0.00404101482566628,0.00421595817604539,0.00445037228294983,0.00412848650085583,13834028.5156251,3301339191.65674,28.3713226509403
"8","P15924","Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3",6326805.94921875,13761290.9208984,14188074.9082031,14953101.5390625,34637141.1367188,80682017.4619141,60921738.0742188,84956204.300293,0.154448152565617,0.145709538944982,0.188897753100831,0.149666754397289,0.152057453481453,13974682.9145508,70801877.7680665,11.7109293854176
"9","P13645","Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",17602227.8251953,27285075.3945313,34488778.5957031,19783931.7368164,781224768.382813,1915955719.11865,1515705419.64844,1600309733.82031,0.0220350938422865,0.0140410161579418,0.0222480374618661,0.0122115974881076,0.0180380550001142,23534503.5656739,1558007576.73438,26.6386355349339
"10","P05783","Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2",5371187.70703125,15239686.8398438,18695800.9960938,18305488.2578125,65175244.7421875,100030396.207031,106823198.576172,116014558.923828,0.0761369146611004,0.132208517917408,0.148947976480086,0.136282622303267,0.134245570110337,16772587.5488282,103426797.391602,14.9828417575268
