"Accession","Description","abundance_stoichiometry_1",",idirt_1_a","idirt_1_b","idirt_1_c","idirt_1_d","bf_1","median_ratio_1","abundance_stoichiometry_2","idirt_2_a","idirt_2_b","idirt_2_c","idirt_2_d","bf_2","median_ratio_2","Gene","average_stochiometry","group","label"
"1","A0A2R8YCH5","Catenin beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1",1.41100177374266,0.873867645854521,0.891184477482987,0.871232578201066,0.88688641229194,17.7495627132891,0.88037702907323,1.2140612484495,0.85569831290028,0.868277450988793,0.861658870499556,0.873513780222732,13.6230176839296,0.864968160744174,"CTNNB1",1.31253151109608,"Stable interactor","CTNNB1"
"2","Q02413","Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2",2.75346376990242,0.983296729334289,0.989584765404878,0.986274426082484,0.987604140774157,29.9232711116452,0.98693928342832,0.0660866748642171,0.0168692847247388,0.014527701597388,0.0202288526636999,0.0236948154793949,29.7129363035316,0.0185490686942194,"DSG1",1.40977522238332,"Random hit",""
"3","P12830","Cadherin-1 OS=Homo sapiens OX=9606 GN=CDH1 PE=1 SV=3",1,0.924427311686744,0.946399450418615,0.928885736959898,0.927833807536677,23.2578050876325,0.928359772248288,1,0.96860035557289,0.958764385705373,0.978467144131779,0.667442134805615,16.2749462382948,0.963682370639132,"CDH1",1,"Bait","CDH1"
"4","P42704","Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",0.0304382573406538,0.006846773401747,0.00745749690736382,0.00680362421293352,0.00724219621871406,26.2822962029938,0.00704448481023053,4.04114139661233,0.990243176515666,0.991955925515211,0.990524799665787,0.990909534300238,27.231981900953,0.990717166983012,"LRPPRC",2.03578982697649,"Random hit",""
"5","P04406","Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3",0.0829271385561533,0.572201320254938,0.643413501835061,0.762708205793997,0.610395081507287,1.78904798227075,0.626904291671174,0.0652634755570961,0.591821790047362,0.42856806392482,0.525988022402773,0.493596008555157,-0.847071590088609,0.509792015478965,"GAPDH",0.0740953070566247,"Background",""
"6","A0A669KB05","Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1",0.0381049667225206,0.876460995434901,0.854802633596445,0.832511716095597,0.843685515174939,14.939865718501,0.849244074385692,0.0212649615782217,0.502232805418348,0.75839941799267,0.499533415621385,0.500479614454471,-0.61813154049084,0.501356209936409,"CTNND1",0.0296849641503711,"Background",""
"7","P22626","Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2",0.239241198754839,0.914794232211246,0.968997182826818,0.938789007322728,0.956352711413987,24.7494367261848,0.947570859368358,0.0104843607076976,0.063976147329002,0.0464626072198373,0.0424679791584251,0.0370919678891772,26.0926948245852,0.0444652931891312,"HNRNPA2B1",0.124862779731268,"Random hit",""
"8","Q96P63","Serpin B12 OS=Homo sapiens OX=9606 GN=SERPINB12 PE=1 SV=1",0.385684848865806,0.948540903479781,0.968211066915226,0.960048693838395,0.971590279134249,26.8365214421922,0.96412988037681,0.0427140900028066,0.157937398207228,0.100724850759885,0.164665773046218,0.207387838890843,14.2356586912063,0.161301585626723,"SERPINB12",0.214199469434306,"Random hit",""
"9","P15924","Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3",0.0123364326397985,0.185825506643906,0.120788598433223,0.2362843049751,0.209361020078951,8.70579851095312,0.197593263361428,0.0839606811062012,0.848238778168074,0.880064497044452,0.916206873675002,0.868544568214264,14.8667438744473,0.874304532629358,"DSP",0.0481485568729998,"Random hit",""
"10","Q15637","Splicing factor 1 OS=Homo sapiens OX=9606 GN=SF1 PE=1 SV=4",0.2189435298554,0.416702346647577,0.268063304755852,0.303081239808807,0.224784930179053,2.31656554469031,0.285572272282329,0.585157526773857,0.508991563277429,0.546841878966624,0.557912915987345,0.560674714533556,-0.773499006872616,0.552377397476985,"SF1",0.402050528314629,"Background",""
