"Accession","Description","abundance_stoichiometry_1",",idirt_1_a","idirt_1_b","idirt_1_c","idirt_1_d","bf_1","median_ratio_1","abundance_stoichiometry_2","idirt_2_a","idirt_2_b","idirt_2_c","idirt_2_d","bf_2","median_ratio_2","Gene","average_stochiometry","group","label"
"1","A0A2R8YCH5","Catenin beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1",1.64199482157541,0.80357761682005,0.845418429789975,0.825752417806095,0.851010687205125,12.2088058761306,0.835585423798035,1.52300470477308,0.860195232304235,0.863256986282299,0.868482296409312,0.853680498744421,12.6895123961627,0.861726109293267,"CTNNB1",1.58249976317424,"Stable interactor","CTNNB1"
"2","Q02413","Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2",4.6845288431211,0.966588938028264,0.97410026873487,0.978981168285416,0.982542824434448,26.8500272046764,0.976540718510143,0.157247569277757,0.0188611942712313,0.0290608865838913,0.0612514895680678,0.0206386062351704,25.4723428735066,0.0248497464095309,"DSG1",2.42088820619943,"Random hit",""
"3","P12830","Cadherin-1 OS=Homo sapiens OX=9606 GN=CDH1 PE=1 SV=3",1,0.947805853980884,0.912473951610775,0.914112280166806,0.88720426517153,20.0937052229044,0.91329311588879,1,0.935475327407213,0.976826680858658,0.813952880718385,0.927527773916317,17.44170565304,0.931501550661765,"CDH1",1,"Bait","CDH1"
"4","P42704","Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",0.122131642963368,0.0132631572854348,0.0194452090201362,0.0158091618725532,0.0213989631744372,24.1992714131615,0.0176271854463447,6.49732774429834,0.989764526793473,0.97786085260444,0.984109101906377,0.985111273801805,25.0457047386963,0.984610187854091,"LRPPRC",3.30972969363085,"Random hit",""
"5","P04406","Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3",0.138721789230705,0.626367837819769,0.463584924999604,0.556117389133513,0.51433072048974,-0.594715842185173,0.535224054811626,0.136289688091735,0.456899832610285,0.647380295377429,0.584965676281172,0.418525327021073,-0.825437626010386,0.520932754445729,"GAPDH",0.13750573866122,"Background",""
"6","A0A669KB05","Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1",0.0588964757743864,0.670989558860984,0.636532302208232,0.767202685118281,0.688291608655419,3.24303036551737,0.679640583758201,0.0330172715090827,0.60658615423021,0.489464139275469,0.277225800306964,0.527985124573717,-0.747110145440542,0.508724631924593,"CTNND1",0.0459568736417346,"Background",""
"7","P22626","Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2",0.304852426334273,0.891348425996757,0.795223693867414,0.895743297181492,0.872561427431244,15.0204646484381,0.881954926714,0.022765686123136,0.125551257861396,0.102051742356877,0.0513127153033759,0.043485750077368,20.1198589312884,0.0766822288301263,"HNRNPA2B1",0.163809056228704,"Random hit",""
"8","Q96P63","Serpin B12 OS=Homo sapiens OX=9606 GN=SERPINB12 PE=1 SV=1",0.526606181588268,0.692222476917278,0.896658117142801,0.868515560448907,0.921927989660552,13.3273544665843,0.882586838795854,0.0911439417378088,0.12397701173915,0.211718205206732,0.255721590608251,0.207031446187764,9.46485744547791,0.209374825697248,"SERPINB12",0.308875061663038,"Random hit",""
"9","P15924","Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3",0.0369499944293202,0.0977732798868201,0.195204287796957,0.224363286658398,0.218748698994838,8.7393241803838,0.206976493395897,0.17914554798854,0.645236578934105,0.688205132413837,0.825874453932302,0.794256533839367,4.33791964510369,0.741230833126602,"DSP",0.10804777120893,"Random hit",""
"10","Q15637","Splicing factor 1 OS=Homo sapiens OX=9606 GN=SF1 PE=1 SV=4",0.882247048297751,0.701857089252563,0.527477197627252,0.541348705842537,0.550003220536855,-0.0684748297061422,0.545675963189696,1.04270417472839,0.49299180215326,0.428887060382224,0.24230626165121,0.662894770856197,-0.608341930015678,0.460939431267742,"SF1",0.962475611513072,"Background",""
