"Accession","Description","abundance_stoichiometry_1",",idirt_1_a","idirt_1_b","idirt_1_c","idirt_1_d","bf_1","median_ratio_1","abundance_stoichiometry_2","idirt_2_a","idirt_2_b","idirt_2_c","idirt_2_d","bf_2","median_ratio_2","Gene","average_stochiometry","group","label"
"1","A0A2R8YCH5","Catenin beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1",1.67701825717148,0.876710952842266,0.885673430431553,0.868416533347925,0.879430667595838,17.4081748763344,0.878070810219052,1.60716968950629,0.876598106402202,0.783818605440205,0.874400600912598,0.878241882950049,12.960267936091,0.8754993536574,"CTNNB1",1.64209397333889,"Stable interactor","CTNNB1"
"2","Q02413","Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2",2.28082843234975,0.982562500992156,0.986501561055148,0.982909255570295,0.98059470039163,29.5822314256622,0.982735878281226,0.0232601549658844,0.0103153562271007,0.0218510578085358,0.0114940544924285,0.0127885033049125,30.892707591032,0.0121412788986705,"DSG1",1.15204429365782,"Random hit",""
"3","P12830","Cadherin-1 OS=Homo sapiens OX=9606 GN=CDH1 PE=1 SV=3",1,0.914328930718548,0.938017726210575,0.94763340693502,0.956168688491885,24.1353444602558,0.942825566572797,1,0.972850761869268,0.888171444695075,0.965905469442916,0.972143994440087,22.899917238912,0.969024731941501,"CDH1",1,"Bait","CDH1"
"4","P42704","Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",0.121607674682084,0.0331470696213122,0.0347209532547208,0.0354182875507419,0.0361282472304619,24.0008587801161,0.0350696204027313,2.39297869267998,0.966834606775869,0.955294857112035,0.968818344533304,0.975525055128266,24.9059223839197,0.967826475654586,"LRPPRC",1.25729318368103,"Random hit",""
"5","P04406","Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3",0.0870817880825294,0.622487195007688,0.630163169455947,0.625396596228179,0.581540365155123,0.726802163482349,0.623941895617933,0.0612506318292573,0.45259184221371,0.453997711672768,0.21823726833859,0.521299262397179,0.151958726026873,0.453294776943239,"GAPDH",0.0741662099558933,"Background",""
"6","A0A669KB05","Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1",0.164614587869605,0.51535548335598,0.524312607897071,0.508644504125422,0.519952932271607,-0.765074887056168,0.517654207813794,0.188041654598171,0.584031998334756,0.548884983128039,0.601243951778456,0.606395360482884,-0.374268541379406,0.592637975056606,"CTNND1",0.176328121233888,"Background",""
"7","P22626","Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2",0.219155747553735,0.821019439880993,0.744115724301382,0.861624790869137,0.790994041008818,10.7561374431765,0.806006740444905,0.0539897781147522,0.477082595863874,0.383727532646183,0.390941164413601,0.356284212808218,0.359719267047766,0.387334348529892,"HNRNPA2B1",0.136572762834244,"Background",""
"8","Q96P63","Serpin B12 OS=Homo sapiens OX=9606 GN=SERPINB12 PE=1 SV=1",0.2714316627889,0.898726396080165,0.957019809053632,0.918589934461666,0.851322337629994,20.4346560639034,0.908658165270915,0.0142743752992426,0.121429566699457,0.160335663746032,0.0536865758568589,0.0708176464067234,20.224361797371,0.0961236065530904,"SERPINB12",0.142853019044071,"Random hit",""
"9","P15924","Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3",0.0154337501904158,0.199976804357822,0.177477815197299,0.247934894226705,0.14620272421618,8.86156162883029,0.18872730977756,0.0416921384695613,0.698036692247209,0.764524792223979,0.618150866148137,0.669650007631129,2.270520992554,0.683843349939169,"DSP",0.0285629443299886,"Background",""
"10","Q15637","Splicing factor 1 OS=Homo sapiens OX=9606 GN=SF1 PE=1 SV=4",0.247708033617351,0.300186911708949,0.338499348643671,0.342828586582779,0.456827884569222,0.680896401730148,0.340663967613225,0.268327733167093,0.680814504825264,0.426794187737871,0.651527235291059,0.626945916988771,-0.206190726065318,0.639236576139915,"SF1",0.258017883392222,"Background",""
