"Accession","Description","abundance_stoichiometry_1",",idirt_1_a","idirt_1_b","idirt_1_c","idirt_1_d","bf_1","median_ratio_1","abundance_stoichiometry_2","idirt_2_a","idirt_2_b","idirt_2_c","idirt_2_d","bf_2","median_ratio_2","Gene","average_stochiometry","group","label"
"1","A0A2R8YCH5","Catenin beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1",1.70033049917441,0.877699047919667,0.899089565339652,0.881774633797074,0.892350423778511,16.7140782926956,0.887062528787793,1.47933257655661,0.894873349495957,0.899918343887737,0.891609898681298,0.894511416551552,15.3779238603312,0.894692383023755,"CTNNB1",1.58983153786551,"Stable interactor","CTNNB1"
"2","Q02413","Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2",2.42939717179142,0.975367342158149,0.984881889449736,0.980256576107991,0.987904428110151,26.9217269183326,0.982569232778864,0.0450029222546566,0.0152848617295613,0.0149868061356214,0.00885580833748345,0.0111207166177268,29.7057585822726,0.0130537613766741,"DSG1",1.23720004702304,"Random hit",""
"3","P12830","Cadherin-1 OS=Homo sapiens OX=9606 GN=CDH1 PE=1 SV=3",1,0.943298429450057,0.955371611903667,0.937322097986317,0.966969077225928,23.280658271921,0.949335020676862,1,0.968312902930554,0.974227029905721,0.933758677557954,0.638120863841972,13.8131133313662,0.951035790244254,"CDH1",1,"Bait","CDH1"
"4","P42704","Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",0.135333073232445,0.0395450298890629,0.0488502343593049,0.0320086989288103,0.0226109693079271,22.8518146160137,0.0357768644089366,4.11180044487319,0.981933986694244,0.973216293047888,0.973404974935773,0.972060535526288,23.7233274275703,0.973310633991831,"LRPPRC",2.12356675905282,"Random hit",""
"5","P04406","Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3",0.0975619161570282,0.918401863637491,0.645785346030473,0.611790040265298,0.563628390138193,2.72716304602071,0.628787693147885,0.0520643609836759,0.527386061759123,0.535163310639828,0.535128555117169,0.460761349608285,-0.847634454219086,0.531257308438146,"GAPDH",0.074813138570352,"Background",""
"6","A0A669KB05","Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1",0.116563850601426,0.568655537879083,0.574059964784465,0.589126934382344,0.64160245837337,0.0580997016680231,0.581593449583404,0.0818329617746592,0.578922826115735,0.565871373405023,0.588535360920204,0.571247415267604,-0.560140572137411,0.575085120691669,"CTNND1",0.0991984061880424,"Background",""
"7","P22626","Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2",0.25998305478105,0.864223179101736,0.899006792695637,0.869463293108579,0.867271799958077,15.5100602165951,0.868367546533328,0.0112762576524258,0.108841242528378,0.0621311909066861,0.143088892204729,0.242669251921212,15.6211367606699,0.125965067366553,"HNRNPA2B1",0.135629656216738,"Random hit",""
"8","Q96P63","Serpin B12 OS=Homo sapiens OX=9606 GN=SERPINB12 PE=1 SV=1",0.266546581477446,0.920111885821266,0.944512157491306,0.841894342939198,0.789978658878648,15.421332553843,0.881003114380232,0.0251627135720083,0.12320748780128,0.06425811126268,0.141988202031655,0.0483675875253827,20.1226617953767,0.0937327995319798,"SERPINB12",0.145854647524727,"Random hit",""
"9","P15924","Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3",0.0143592413656601,0.204208431760802,0.201878328913437,0.170896992861566,0.198825868007258,8.48458950923106,0.200352098460348,0.0442844899992439,0.824091073498448,0.844550205673897,0.830524357153311,0.796213974899898,9.37244735503981,0.827307715325879,"DSP",0.029321865682452,"Random hit",""
"10","Q15637","Splicing factor 1 OS=Homo sapiens OX=9606 GN=SF1 PE=1 SV=4",0.286850819948189,0.478189558690206,0.2993401142596,0.325074143450577,0.346011004813385,0.640681943163335,0.335542574131981,0.395463797682686,0.629329041168774,0.514521433482721,0.716658720617618,0.738743588169787,0.740588817733547,0.672993880893196,"SF1",0.341157308815437,"Background",""
