"Accession","Description","Control.a.buffer19","Control.b.buffer19","Control.c.buffer19","Control.d.buffer19","Sample.a.buffer19","Sample.b.buffer19","Sample.c.buffer19","Sample.d.buffer19","idirt_a","idirt_b","idirt_c","idirt_d","median_ratio","median_Sample","median_Control","bf"
"1","A0A2R8YCH5","Catenin beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1",119351523.152222,122500181.126709,125322496.640869,119432470.924316,1097222463.55078,1109277143.09937,1125260936.61157,1181706554.29395,0.901895384533354,0.900550059887102,0.899788775935614,0.908209293081282,0.901222722210228,1117269039.85547,120966326.025513,15.1402991122917
"2","P35527","Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",42335129.9609375,26685230.96875,61561841.1767578,30207439.4921875,297509058.005859,1290779528.87988,7682970823.29297,1032350718.60986,0.875427824103104,0.979745013466762,0.992050928849562,0.971571024831107,0.975658019148934,1161565123.74487,36271284.7265625,20.2228883607365
"3","P42704","Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",5254890.08007813,5888265.53125,2309184.8125,5757486.53125,3403559423.68359,2938095223.91992,2723991432.26563,2946562686.04297,0.998458440502652,0.997999898588987,0.99915299699599,0.998049843446949,0.998254141974801,2942328954.98145,5506188.30566406,25.0240538699603
"4","P15924","Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3",31477732.7226563,44372671.1445313,28839347.1328125,85807104.8632813,81580995.7402344,198110850.234375,296557780.570313,147585447.945313,0.721580693940068,0.817007477901171,0.911371844808895,0.632348573976772,0.76929408592062,172848149.089844,37925201.9335938,5.40454449882056
"5","P04264","Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",8926009608.85938,7533375307.19531,7227902366.04346,7658169153.44775,926266744.10376,2553307721.60107,8508460728.52441,1651045052.27148,0.0940155057491032,0.253136508236816,0.54068787542539,0.177356006187626,0.215246257212221,2102176386.93628,7595772230.32153,5.55100569595075
"6","A0A669KB05","Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1",18766275.5859375,25984688.5527344,41820191.3007813,18222698.5,109481978.200195,118707638.515625,113789207.535645,118590036.888672,0.853672272082299,0.820414191414186,0.731248937316814,0.866805539351062,0.837043231748242,116189622.212159,22375482.069336,8.36869572167694
"7","P35908","Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",26508886.8515625,16001452.8652344,52464738.7890625,33430654.2929688,407386000.956543,1902815407.80957,3908836377.55371,887766997.108398,0.938904818663625,0.991660771179795,0.986755680205018,0.963709574984139,0.975232627594578,1395291202.45898,29969770.5722656,21.8801471120762
"8","P13645","Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",46160794.2365723,83081065.6318359,40304325.0537109,69836455.201416,970690153.976318,2399257648.09668,3131931332.80078,1131161829.73242,0.95460416856797,0.96653113244685,0.9872946623767,0.941851328118039,0.96056765050741,1765209738.91455,57998624.7189942,21.0567392648678
"9","P05787","Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",117684805.214844,144950833.976563,41161248.59375,304252739.015625,3443058350.08398,2984159638.75781,2742353667.62109,3060176203.73047,0.966949369813514,0.953676664585799,0.985212492178873,0.909567791683753,0.960313017199656,3022167921.24414,131317819.595704,20.1386454582887
"10","P58107","Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3",16772533.7851563,19784955.4414063,4247529.859375,57176585.3828125,7135214.11132813,12655781.8476563,5042043.640625,23027080.9609375,0.298447772756435,0.390120043662608,0.542763738359463,0.28710758511019,0.344283908209522,9895497.97949222,18278744.6132813,0.89576270778928
