"Accession","Description","Control.a.buffer3","Control.b.buffer3","Control.c.buffer3","Control.d.buffer3","Sample.a.buffer3","Sample.b.buffer3","Sample.c.buffer3","Sample.d.buffer3","idirt_a","idirt_b","idirt_c","idirt_d","median_ratio","median_Sample","median_Control","bf"
"1","A0A2R8YCH5","Catenin beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1",178629818.596741,399464962.500122,196211879.140503,134521075.851196,1275984459.72192,1459906407.04541,1370381804.35876,982701526.974609,0.877197810265404,0.785161281364809,0.874752540363734,0.879593309774659,0.875975175314569,1323183132.04034,187420848.868622,11.8162967305577
"2","P35527","Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",24737705.9697266,24016480.6464844,33300604.6767578,22532987.1152344,579907408.7146,1217912688.7168,463622378.919922,508078931.831055,0.959087230891394,0.98066195622187,0.93298638667157,0.957533959734675,0.958310595313035,543993170.272828,24377093.3081055,21.8011800236177
"3","P42704","Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",100147691.929688,156182525.3125,98955667.1054688,71470410.1640625,3279801368.125,3689785431.65234,3603725370.24609,3399925198.82031,0.970370058793706,0.959390580717226,0.973274590463712,0.979411620508164,0.971822324628709,3501825284.5332,99551679.5175784,23.2606413722048
"4","P15924","Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3",39091433.578125,40603882.1601563,64246304.75,40807469.4667969,80002443.0273438,143940035.818359,111844906.144531,86042764.5390625,0.671759500216572,0.779977131704316,0.635153257089702,0.678301977236306,0.675030738726439,98943835.3417968,40705675.8134766,2.07659107257313
"5","P04264","Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",7701538566.35553,8301685680.70752,7908271862.98877,7975799745.82715,1007265228.53296,2443302178.23462,917460144.531006,1185105834.19312,0.115660572020713,0.227389943135326,0.103952866883937,0.129365576780729,0.122513074400721,1096185531.36304,7942035804.40796,14.9229264178107
"6","A0A669KB05","Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1",124731594.1875,157488995.773438,120424703.615234,96797778.1132813,173465941.03125,211397915.445313,179874207.855469,148148632.320313,0.581714872002546,0.573069710570331,0.598983882340904,0.604820589361021,0.590349377171725,176670074.443359,122578148.901367,-0.386398916315589
"7","P35908","Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",24810806.1855469,54082706.7695313,32728333.1699219,20355519.2988281,553654002.917969,1506434888.97461,496702094.990234,731535726.765625,0.957109221174581,0.965343097112762,0.938181994405464,0.972927575090982,0.961226159143672,642594864.841797,28769569.6777344,21.8923086321082
"8","P13645","Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",51000127.5710449,75282783.6469727,66148131.5402832,42092573.1518555,662918784.117188,2011495838.69751,718879098.074219,1037688183.44824,0.928563136882811,0.963923924252975,0.915737787117568,0.96101748165582,0.944790309269316,878283640.76123,58574129.555664,20.1504137559047
"9","P05787","Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",140662045.550781,175115757.896484,270184882.875,170081678.382813,3240108283.28125,3641648002.91406,3610578694.87891,3398073822.87891,0.958393492645395,0.954119309218317,0.930378422322914,0.952333445579188,0.953226377398752,3504326258.87891,172598718.139648,20.84662147954
"10","P58107","Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3",29358573.1757813,36021091.265625,54861274.3417969,32158126.5703125,11798754.6328125,19276772.828125,28927780.2773438,20584137.640625,0.286674457770528,0.348598868040253,0.345245335549299,0.390277853038329,0.346922101794776,19930455.234375,34089608.9179688,2.06979576816443
"11","P05783","Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2",139201184.640625,168143938.210938,239665254.777344,176787630.835938,126236384.347656,158345714.65625,184216020.558594,156507801.117188,0.475578437629638,0.484994587931591,0.434593437543561,0.469576796177629,0.472577616903634,157426757.886719,172465784.523438,-0.62695258339128
"12","P02533","Keratin, type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4",26661361.0664063,42061164.6044922,53244896.2094727,33058250.2167969,73979712.5011597,222073612.297363,102302898.137695,120741687.552734,0.735084691356089,0.840758702440304,0.657694302687216,0.785056803687823,0.760070747521956,111522292.845215,37559707.4106446,4.96705147120245
"13","H0YFD6","Enoyl-CoA hydratase OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",51420637.9570313,55823948.7880859,45572489.0390625,32375548.3789063,154628247.178223,165005961.992188,139406073.175781,131783064.472656,0.750444473779716,0.74720838952097,0.75363367250021,0.802778862366598,0.752039073139963,147017160.177002,48496563.4980469,5.46670967039187
"14","P08727","Keratin, type I cytoskeletal 19 OS=Homo sapiens OX=9606 GN=KRT19 PE=1 SV=4",74417746.3457031,94178912.8046875,128467513.496094,95445376.8007813,57105421.4101563,136669452.730469,82785593.5917969,91427830.9453125,0.434185264729622,0.592031277386953,0.391878702912305,0.489250610336481,0.461717937533052,87106712.2685547,94812144.8027344,-0.711126877099144
"15","P13647","Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3",5871500.97460938,7531267.6015625,7835201.9609375,6946529.4296875,97864278.0512085,196830895.753906,123857025.476563,107346762.550781,0.943399461306903,0.963147446288956,0.940503687169723,0.939221897371942,0.941951574238313,115601894.013672,7238898.515625,20.605903800566
"16","P08779","Keratin, type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4",2685850.1328125,1534738.4140625,1238547.0859375,810717.3359375,5936793.24414063,28218142.5205078,14640054.359375,17047761.3374023,0.688511977662056,0.94841714933631,0.921998981446623,0.954603225125341,0.935208065391466,15843907.8483886,1386642.75,13.8745457743453
"17","A0A087WXI5","Cadherin-1 OS=Homo sapiens OX=9606 GN=CDH1 PE=1 SV=1",13575282.3935547,70876463.1777344,16991161.84375,10687570.6015625,480495338.818359,555795641.65332,475470243.445435,357706840.831543,0.972523599237179,0.886900242357457,0.965497475210728,0.970988781941652,0.96824312857619,477982791.131897,15283222.1186524,20.8614555638156
"18","P14923","Junction plakoglobin OS=Homo sapiens OX=9606 GN=JUP PE=1 SV=3",7517180.90429688,11072369.65625,8502482.26953125,5799842.64453125,30090617.1816406,42886170.5463867,31939631.15625,28426756.1875,0.800116430982761,0.7947985691483,0.789761672936928,0.830545749725403,0.797457500065531,31015124.1689453,8009831.58691406,8.00428259324272
