"Accession","Description","Control.a.buffer25","Control.b.buffer25","Control.c.buffer25","Control.d.buffer25","Sample.a.buffer25","Sample.b.buffer25","Sample.c.buffer25","Sample.d.buffer25","idirt_a","idirt_b","idirt_c","idirt_d","median_ratio","median_Sample","median_Control","bf"
"1","A0A2R8YCH5","Catenin beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1",61557234.6038818,75623331.7526245,58267344.6826172,60449390.9858398,355314232.808838,456809729.714844,361915138.234985,339475763.173096,0.852335217409021,0.857966499029578,0.861328477384329,0.848848239833856,0.855150858219299,358614685.521912,61003312.7948608,11.4042879034091
"2","P35527","Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",30802388.0898438,14040551.0224609,13375286.265625,17336243.5976563,588999181.297363,1054360747.22571,967769943.819092,808458853.517944,0.950302823336995,0.986858354585039,0.98636767946732,0.979006603867945,0.982687141667633,888114398.668518,15688397.3100586,23.0468211468765
"3","P42704","Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",24204157.9082031,48966020.0449219,28783039.6152344,29701574.8554688,4262943109.45703,2808746645.21484,2747535113.47852,3020266829.71289,0.994354250880894,0.982865310204142,0.989632658064365,0.990261677855095,0.98994716795973,2914506737.46387,29242307.2353516,24.6015654352034
"4","P15924","Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3",58708390.546875,62376572.4785156,26291397.4296875,26668284.7216797,121857315.113281,124497862.363281,135818641.664063,113344932.792969,0.674864114798352,0.666211311722108,0.837817586272477,0.809530234394552,0.742197174596452,123177588.738281,42688337.6342774,4.29314907572847
"5","P04264","Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",8680397393.17139,7272572112.53503,6765808051.56299,7588607808.52124,1843806826.40894,2030586207.62256,3341868411.82538,1624023394.7583,0.1751967928348,0.218268478052533,0.330626769063114,0.176282254105665,0.197275366079099,1937196517.01575,7430589960.52814,8.42953518955798
"6","A0A669KB05","Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1",5941138.84863281,9858196.67211914,9555563.39648438,8106251.84277344,6138140.94628906,9731569.61376953,9368932.109375,9023520.23144531,0.508154546504464,0.496768030396544,0.495069055155219,0.526774097889265,0.502461288450504,9196226.17041016,8830907.61962891,-0.833166756091521
"7","P35908","Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",20748304.2929688,33221098.1894531,9635399.58789063,16714117.4599609,1327500031.23975,1783226109.9585,3854496715.50928,1058412442.48633,0.98461091792502,0.9817109475902,0.997506451823879,0.984453814013491,0.984532365969255,1555363070.59912,18731210.8764649,24.3468425153942
"8","P13645","Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",59801707.3789063,51857377.5246582,50134597.8881836,33410112.4367676,1978499790.81006,2319368935.40552,4855434470.52209,1339374914.70972,0.970661009947724,0.978130565926212,0.989780064822443,0.975662531440764,0.976896548683488,2148934363.10779,50995987.7064209,23.376561052687
"9","P05787","Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",191565496.957031,185844584.726563,58557728.390625,73850044.6210938,4305330865.53906,2823925916.00586,2736340964.65625,3013815292.95996,0.957400508814328,0.938252905103117,0.979048353868316,0.97608223801905,0.966741373416689,2918870604.48291,129847314.673828,21.616617351681
"10","P58107","Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3",40294046.5,41903477.875,13015154.5976563,15157182.7929688,15004607.8085938,17038624.7167969,8704850.26367188,5729731.04882813,0.271337666281365,0.289073921145938,0.400775705127516,0.274321572455684,0.281697746800811,11854729.0361328,27725614.6464844,3.55898349416995
