"Accession","Description","Control.a.buffer2","Control.b.buffer2","Control.c.buffer2","Control.d.buffer2","Sample.a.buffer2","Sample.b.buffer2","Sample.c.buffer2","Sample.d.buffer2","idirt_a","idirt_b","idirt_c","idirt_d","median_ratio","median_Sample","median_Control","bf"
"1","A0A2R8YCH5","Catenin beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=CTNNB1 PE=1 SV=1",66125243.6142578,91341009.2043457,86282394.0214844,116418400.195557,576532528.977051,807265338.387207,724517596.061523,997000320.470581,0.897106599446189,0.898352588484203,0.893583627186958,0.895440593880166,0.896273596663177,765891467.224365,88811701.6129151,15.7328361108621
"2","P35527","Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3",40166295.0917969,36485202.7529297,19647894.4492188,35013037.6191406,753974570.816895,621453406.098633,569453373.641846,285761868.143066,0.949421699831759,0.944546189778078,0.966647679247261,0.890848576399875,0.946983944804919,595453389.870239,35749120.1860352,19.9285868205562
"3","P42704","Leucine-rich PPR motif-containing protein, mitochondrial OS=Homo sapiens OX=9606 GN=LRPPRC PE=1 SV=3",54738938.6171875,84727094.6757813,88252997.3164063,95465967.1972656,3788407756.10938,3640751898.66797,3920760167.14844,3844495350.9375,0.985756739733017,0.977257395672567,0.977986353824262,0.97576982120158,0.977621874748414,3816451553.52344,86490045.9960938,24.5378964016888
"4","P15924","Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3",13195514.9404297,12763203.6679688,10364681.0766602,12219444.9892578,71818796.1777344,77286812.2041016,56429360.75,57591311.9794922,0.844784780740165,0.858265392355945,0.844826263043671,0.824963293339912,0.844805521891918,64705054.0786133,12491324.3286133,11.0861411215072
"5","P04264","Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6",8669230581.68652,8304356802.4707,8730328807.98193,8764718485.60645,1417701483.78149,1457575247.32214,938649782.794434,502148097.215332,0.140548332692247,0.149312168932078,0.0970784839351957,0.0541874745608377,0.118813408313721,1178175633.28796,8699779694.83422,18.3051743115873
"6","A0A669KB05","Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1",28252502.8769531,36467287.4375,35483778.5703125,37961512.3740234,39002088.5195313,47573685.1132813,51611020.28125,48504631.8535156,0.57991711360795,0.566077279561885,0.592584413326584,0.560966749319523,0.572997196584917,48039158.4833985,35975533.0039062,-0.548756659911771
"7","P35908","Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2",568738107.015625,823055243.412109,75114740.5039063,16079711.421875,860799667.591797,1086140468.34473,563007664.34082,305485709.898438,0.602152445973797,0.56889949084647,0.882287880924375,0.949995520799925,0.742220163449086,711903665.966308,321926423.759766,4.82595433413255
"8","P13645","Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6",29632140.0058594,57469248.1318359,31694423.9960938,42350216.986084,1018149670.20605,1250364503.12451,602024401.519531,402448268.870605,0.971719169280228,0.956057680820189,0.949986614378537,0.904787857124745,0.953022147599363,810087035.862791,37022320.4910889,20.7615023054859
"9","P05787","Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",29797511.4628906,14451857.765625,11927583.5195313,19621319.0175781,3748850658.53906,3569136671.12109,3841142668.76758,3763220037.4043,0.992114240299097,0.995967210618872,0.996904395004879,0.994813073780039,0.995390142199456,3756035347.97168,17036588.3916015,26.410559974111
"10","P58107","Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3",3440488.0625,1397246.296875,1734650.91796875,2787721.53515625,3450124.01367188,1584777.72851563,2256615.2890625,4026900.6875,0.500699208652683,0.531443648683559,0.565388318395579,0.590920605123488,0.548415983539569,2853369.65136719,2261186.2265625,-0.766831498069852
